Topic,Count,Name,Representation,Representative_Docs
-1,131,-1_average_satisfactory_music_unhelpful,"['average', 'satisfactory', 'music', 'unhelpful', 'treadmill', 'overall', 'sanitizer', 'decent', 'ok', 'find']","['overall staff average satisfactory', 'overall music average satisfactory', 'overall music average satisfactory']"
0,232,0_sanitizer_frustrating_unhelpful_ok,"['sanitizer', 'frustrating', 'unhelpful', 'ok', 'overall', 'improve', 'think', 'could', 'dirty', 'crowd']","['sanitizer crowd', 'sanitizer crowd', 'sanitizer crowd']"
1,203,1_shower_equipment_work_could,"['shower', 'equipment', 'work', 'could', 'improve', 'think', 'dirty', 'find', 'frustrate', 'satisfactory']","['shower crowd', 'shower crowd', 'shower crowd']"
2,179,2_ac_average_frustrating_find,"['ac', 'average', 'frustrating', 'find', 'break', 'today', 'dirty', 'overall', 'ok', 'could']","['think ac could improve', 'think ac could improve', 'think ac could improve']"
3,150,3_staff_think_improve_could,"['staff', 'think', 'improve', 'could', 'help', 'crowd', 'class', 'work', 'equipment', 'weight']","['think staff could improve crowd', 'think staff could improve crowd', 'think staff could improve crowd']"
4,146,4_treadmill_could_improve_think,"['treadmill', 'could', 'improve', 'think', 'decent', 'frustrate', 'satisfactory', 'ok', 'help', 'find']","['think treadmill could improve', 'think treadmill could improve', 'think treadmill could improve']"
5,136,5_crowd_music_find_decent,"['crowd', 'music', 'find', 'decent', 'today', 'ok', 'frustrating', 'average', 'unhelpful', 'satisfactory']","['find crowd crowd today', 'find crowd crowd today', 'find crowd crowd today']"
6,130,6_weight_average_frustrate_decent,"['weight', 'average', 'frustrate', 'decent', 'satisfactory', 'ok', 'find', 'today', 'overall', 'unhelpful']","['find weight average today', 'find weight average today', 'find weight average today']"
7,86,7_locker_room_could_improve,"['locker', 'room', 'could', 'improve', 'think', 'crowd', 'equipment', 'work', 'help', 'staff']","['think locker room could improve crowd', 'think locker room could improve crowd', 'think locker room could improve crowd']"
8,82,8_class_break_frustrate_decent,"['class', 'break', 'frustrate', 'decent', 'overall', 'find', 'unhelpful', 'satisfactory', 'today', 'ok']","['find class break today', 'find class break today', 'find class break today']"
9,77,9_found_staff_unhelpful_today,"['found', 'staff', 'unhelpful', 'today', 'frustrating', 'ok', 'decent', 'break', 'frustrate', 'broken']","['found staff unhelpful today', 'found staff unhelpful today', 'found staff unhelpful today']"
10,69,10_room_locker_frustrate_unhelpful,"['room', 'locker', 'frustrate', 'unhelpful', 'find', 'ok', 'today', 'decent', 'overall', 'satisfactory']","['find locker room unhelpful today', 'find locker room unhelpful today', 'find locker room unhelpful today']"
11,60,11_music_decent_find_today,"['music', 'decent', 'find', 'today', 'ok', 'break', 'frustrate', 'satisfactory', 'overall', 'unhelpful']","['find music decent today', 'find music decent today', 'find music decent today']"
12,39,12_class_think_improve_could,"['class', 'think', 'improve', 'could', 'work', 'equipment', '', '', '', '']","['think class could improve', 'think class could improve', 'think class could improve']"
13,36,13_average_room_locker_shower,"['average', 'room', 'locker', 'shower', 'overall', 'satisfactory', 'find', 'today', 'decent', 'ok']","['locker room average', 'overall locker room average average', 'overall locker room average average']"
14,35,14_music_improve_think_could,"['music', 'improve', 'think', 'could', 'help', 'staff', 'crowd', '', '', '']","['think music could improve', 'think music could improve', 'think music could improve']"
